FID	nb_genes	nb_species	origin	lost_sp	lost_taxa	expanded_tax
OG0000073	393	19	metazoa	10	mle,odi,nematodes,mandibulata,platyhelminthes,dgy	aqu,lan,nge,sko
OG0000074	390	28	metazoa	1	mle	
OG0000075	384	28	metazoa	1	odi	loc
OG0000076	380	23	eumetazoa	5	nematodes,insects,sme	bla,odi,sko
OG0000077	377	23	metazoa	6	odi,nematodes,cgi,dgy,hel	aqu,obi,rva,sko
OG0000078	377	29	metazoa	0		nve,sko
OG0000079	377	28	metazoa	1	ava	bla,nve
OG0000080	371	29	metazoa	0		sme
OG0000081	370	26	metazoa	3	mle,sko,sme	cin,cte,pye
OG0000082	369	15	metazoa	14	sko,bla,urochordata,hsa,dme,sme,moll_cl,dgy,hel,lophophorata	nge,obi
OG0000083	367	29	metazoa	0		
OG0000084	366	26	metazoa	3	platyhelminthes,hro	mle,sko
OG0000085	365	20	metazoa	9	mle,odi,vertebrata,nematodes,rva,platyhelminthes	aqu,sko
OG0000086	363	29	metazoa	0		
OG0000087	358	29	metazoa	0		
OG0000088	357	29	metazoa	0		
OG0000089	352	29	metazoa	0		
OG0000090	351	25	metazoa	4	ppa,rva,sma,dme	bla,cgi,cte,mle,odi,pau
OG0000091	346	19	metazoa	10	mle,nve,urochordata,hsa,cel,platyhelminthes,dgy,hro	aqu,hel,rva,tca
OG0000092	346	28	metazoa	1	lan	lgi,sme
OG0000093	340	19	metazoa	10	odi,nematodes,rva,insects,ava,platyhelminthes,dgy	aqu,cgi
OG0000094	340	29	metazoa	0		
OG0000095	340	16	bilateria	10	olfactores,ecdysozoa	cte
OG0000096	337	29	metazoa	0		pye,dgy
OG0000097	335	28	metazoa	1	mle	dme
OG0000098	334	29	metazoa	0		
OG0000099	332	29	metazoa	0		
OG0000100	331	26	eumetazoa	2	rva,sma	mli
OG0000101	329	26	metazoa	3	hsa,sme,hro	
OG0000102	328	29	metazoa	0		
OG0000103	326	23	metazoa	6	nematodes,rva,platyhelminthes,hro	cte,sko
OG0000104	325	29	metazoa	0		
OG0000105	325	14	eumetazoa	14	urochordata,hsa,cel,panarthropoda,platyhelminthes,lgi,cgi,dgy,nge	hro,obi
OG0000106	324	28	metazoa	1	odi	aqu,sko
OG0000107	321	29	metazoa	0		
OG0000108	320	27	metazoa	2	odi,ava	
OG0000109	320	29	metazoa	0		nve
OG0000110	320	29	metazoa	0		rva
OG0000111	319	18	metazoa	11	odi,vertebrata,rva,sma,dme,ava,bivalvia,dgy,hel	aqu,hro,obi
OG0000112	319	26	metazoa	3	platyhelminthes,nge	cel
OG0000113	318	29	metazoa	0		
OG0000114	317	26	metazoa	3	mle,odi,rva	hel
OG0000115	316	29	metazoa	0		
OG0000116	313	26	eumetazoa	2	sko,cin	
OG0000117	313	20	eumetazoa	8	nematodes,rva,ava,platyhelminthes,dgy,hro	cte,sko
OG0000118	305	29	metazoa	0		
OG0000119	301	26	bilateria	0		
OG0000120	297	23	metazoa	6	mle,odi,nematodes,dme,sme	aqu,cgi,hel,pye
OG0000121	296	19	metazoa	10	odi,ecdysozoa,sme,dgy,hro	aqu,hel,lgi,sko
OG0000122	295	29	metazoa	0		
OG0000123	293	28	eumetazoa	0		
OG0000124	290	29	metazoa	0		ava,hsa,loc
OG0000125	289	26	metazoa	3	odi,ava,sme	
OG0000126	289	28	eumetazoa	0		
OG0000127	288	29	metazoa	0		
OG0000128	286	29	metazoa	0		ava,nve,sko
OG0000129	285	9	metazoa	20	bla,urochordata,hsa,ecdysozoa,ava,platyhelminthes,mollusca,dgy,lophophorata	cte,hro
OG0000130	283	29	metazoa	0		
OG0000131	282	29	metazoa	0		
OG0000132	282	23	metazoa	6	mle,nematodes,rva,insects	hel,pau,pye
OG0000133	281	28	metazoa	1	sme	
OG0000134	280	18	metazoa	11	mle,urochordata,nematodes,rva,insects,sme,dgy,hro	aqu,bla,cte,sma
OG0000135	279	29	metazoa	0		
OG0000136	278	29	metazoa	0		ppa,rva
OG0000137	276	29	metazoa	0		
OG0000138	275	29	metazoa	0		
OG0000139	274	27	parahoxozoa	0		
OG0000140	272	29	metazoa	0		
OG0000141	271	27	parahoxozoa	0		
OG0000142	268	28	metazoa	1	lan	lgi
OG0000143	268	28	eumetazoa	0		rva
OG0000144	267	21	metazoa	8	mle,odi,ppa,rva,sma,dme,platyhelminthes	
OG0000145	267	29	metazoa	0		
OG0000146	266	29	metazoa	0		
OG0000147	266	29	metazoa	0		
OG0000148	265	15	metazoa	14	odi,vertebrata,cel,rva,insects,ava,platyhelminthes,obi,dgy,hel,hro	nge,ppa
OG0000149	265	29	metazoa	0		
OG0000150	264	29	metazoa	0		odi
OG0000151	264	28	metazoa	1	rva	
OG0000152	264	27	parahoxozoa	0		
OG0000153	262	24	metazoa	5	mle,dme,pye,hel,lan	nve,sko
OG0000154	261	29	metazoa	0		
OG0000155	260	29	metazoa	0		ppa
OG0000156	259	27	parahoxozoa	0		
OG0000157	257	28	metazoa	1	dme	sko
OG0000158	257	29	metazoa	0		
OG0000159	256	25	bilateria	1	sme	ava
OG0000160	252	29	metazoa	0		
OG0000161	252	28	metazoa	1	sme	ava,ppa
OG0000162	251	25	parahoxozoa	2	urochordata	rva
OG0000163	249	24	parahoxozoa	3	nematodes,sme	dme
OG0000164	248	16	metazoa	13	mle,urochordata,hsa,nematodes,rva,dme,ava,platyhelminthes,dgy,hro	aqu
OG0000165	248	27	metazoa	2	mle,sme	cte,odi,sko
OG0000166	247	24	metazoa	5	vertebrata,ppa,sme,hro	cgi,pye
OG0000167	247	28	metazoa	1	mli	
OG0000168	247	28	eumetazoa	0		hsa
OG0000169	244	28	metazoa	1	dme	
OG0000170	244	25	eumetazoa	3	nematodes,sma	rva
OG0000171	243	25	parahoxozoa	2	urochordata	
OG0000172	243	19	parahoxozoa	8	olfactores,nematodes,platyhelminthes	
OG0000173	243	10	eumetazoa	18	olfactores,ecdysozoa,ava,platyhelminthes,pye,annelids	nge,sko
OG0000174	242	16	parahoxozoa	11	odi,vertebrata,ecdysozoa,sme,nge	hro,mli,pau
OG0000175	242	14	parahoxozoa	13	sko,bla,odi,vertebrata,ecdysozoa,ava,lan	
OG0000176	240	28	eumetazoa	0		
OG0000177	240	19	bilateria	7	sko,bla,cin,vertebrata,ava,sme	hro
OG0000178	239	23	parahoxozoa	4	nematodes,dme,hro	nve
OG0000179	238	26	eumetazoa	2	ava,sme	
OG0000180	237	11	metazoa	18	mle,chordata,cel,rva,dme,ava,platyhelminthes,obi,bivalvia,dgy,hel,hro	aqu,nge,sma
OG0000181	237	29	metazoa	0		
OG0000182	236	26	eumetazoa	2	nve,hel	ppa
OG0000183	235	17	metazoa	12	olfactores,dme,ava,sme,obi,dgy,anne_cl1,pau	mli,rva,sko
OG0000184	235	29	metazoa	0		odi
OG0000185	235	21	parahoxozoa	6	olfactores,rva,sme	
OG0000186	233	20	metazoa	9	nve,sko,bla,odi,sme,dgy,spir_cl	aqu,cte,rva
OG0000187	233	24	metazoa	5	mle,panarthropoda	
OG0000188	231	29	metazoa	0		
OG0000189	230	29	metazoa	0		
OG0000190	230	29	metazoa	0		
OG0000191	230	28	eumetazoa	0		
OG0000192	229	27	metazoa	2	mle,sme	hel
OG0000193	228	29	metazoa	0		odi,rva
OG0000194	227	15	metazoa	14	mle,deuterostomes,nematodes,rva,sma,dme,lgi,dgy	aqu,nge,obi,tca
OG0000195	227	29	metazoa	0		
OG0000196	226	28	metazoa	1	ppa	
OG0000197	226	28	eumetazoa	0		mli
OG0000198	225	29	metazoa	0		
OG0000199	224	25	metazoa	4	mle,nematodes,rva	tca,dme
OG0000200	224	26	metazoa	3	nematodes,dme	
OG0000201	223	29	metazoa	0		
OG0000202	223	21	metazoa	8	odi,nematodes,rva,insects,ava,hro	lan
OG0000203	222	28	metazoa	1	sme	nve
OG0000204	222	16	parahoxozoa	11	urochordata,ecdysozoa,ava,platyhelminthes	
OG0000205	221	28	metazoa	1	sme	cin
OG0000206	221	24	metazoa	5	mle,cin,pye,hel,pau	
OG0000207	221	27	eumetazoa	1	sme	hel,nve
OG0000208	220	29	metazoa	0		
OG0000209	217	22	metazoa	7	odi,hsa,nematodes,mandibulata	ava
OG0000210	216	29	metazoa	0		
OG0000211	216	24	eumetazoa	4	nematodes,mli,hel	bla,cin,cte,hsa,loc
OG0000212	215	16	metazoa	13	mle,nve,bla,urochordata,loc,ppa,insects,ava,mli,cgi,dgy	aqu,nge,rva
OG0000213	215	14	metazoa	15	mle,odi,vertebrata,nematodes,dme,ava,platyhelminthes,obi,lgi,cgi,dgy,hel	aqu,sko
OG0000214	215	26	metazoa	3	odi,ppa,dme	
OG0000215	214	10	metazoa	19	nve,olfactores,ecdysozoa,ava,platyhelminthes,obi,lgi,dgy,hel,hro	aqu,nge
OG0000216	214	17	metazoa	12	nve,olfactores,ecdysozoa,ava	aqu,mli
OG0000217	214	22	metazoa	7	mle,sko,bla,urochordata,hsa,ava	aqu
OG0000218	214	15	metazoa	14	mle,urochordata,hsa,cel,panarthropoda,ava,platyhelminthes,dgy,cte	hro,nge,obi
OG0000219	214	28	metazoa	1	mle	
OG0000220	214	19	bilateria	7	nematodes,rva,dme,ava,obi,hro	sko
OG0000221	213	28	metazoa	1	mle	
OG0000222	212	29	metazoa	0		
OG0000223	212	22	eumetazoa	6	nematodes,rva,insects,hro	
OG0000224	211	7	parahoxozoa	20	deuterostomes,ecdysozoa,ava,platyhelminthes,mollusca,lan	cte,hro
OG0000225	210	27	metazoa	2	nematodes	dme
OG0000226	210	26	metazoa	3	odi,ava,mli	cin
OG0000227	209	28	metazoa	1	ppa	aqu
OG0000228	208	28	metazoa	1	odi	
OG0000229	207	21	metazoa	8	urochordata,loc,mli,cgi,dgy,lophophorata	aqu,rva
OG0000230	207	29	metazoa	0		
OG0000231	207	29	metazoa	0		
OG0000232	207	23	parahoxozoa	4	nematodes,insects	
OG0000233	206	11	metazoa	18	olfactores,nematodes,rva,insects,ava,platyhelminthes,obi,lgi,dgy,hel,hro,pau	aqu,nge
OG0000234	205	29	metazoa	0		
OG0000235	205	29	metazoa	0		
OG0000236	205	19	metazoa	10	urochordata,hsa,nematodes,insects,ava,sme,dgy	aqu,nge
OG0000237	205	29	metazoa	0		
OG0000238	205	26	eumetazoa	2	tca,ava	
OG0000239	204	24	metazoa	5	mle,odi,ava,platyhelminthes	
OG0000240	204	17	metazoa	12	urochordata,hsa,ecdysozoa,ava,platyhelminthes	aqu,cgi,lan,pau
OG0000241	204	28	metazoa	1	dgy	
OG0000242	204	27	parahoxozoa	0		
OG0000243	203	20	metazoa	9	odi,ecdysozoa,sme,obi	aqu
OG0000244	203	11	metazoa	18	mle,nve,urochordata,ecdysozoa,sme,obi,annelids,nge,pau	
OG0000245	202	23	metazoa	6	mle,sko,hsa,platyhelminthes,nge	
OG0000246	202	24	metazoa	5	odi,vertebrata,rva,ava	tca
OG0000247	199	29	metazoa	0		
OG0000248	199	29	metazoa	0		
OG0000249	198	28	eumetazoa	0		tca
OG0000250	198	11	eumetazoa	17	sko,olfactores,ecdysozoa,ava,platyhelminthes,obi,dgy,lan	cte,hel,nge
OG0000251	197	29	metazoa	0		
OG0000252	197	29	metazoa	0		
OG0000253	196	29	metazoa	0		
OG0000254	195	29	metazoa	0		
OG0000255	195	29	metazoa	0		
OG0000256	195	26	parahoxozoa	1	odi	
OG0000257	194	29	metazoa	0		
OG0000258	194	12	metazoa	17	mle,urochordata,hsa,nematodes,mandibulata,ava,sme,obi,cgi,dgy,anne_cl1,pau	rva,sko
OG0000259	194	28	metazoa	1	hel	
OG0000260	194	29	metazoa	0		
OG0000261	193	12	metazoa	17	mle,olfactores,nematodes,mandibulata,ava,sme,obi,cgi,dgy,anne_cl1	aqu,rva
OG0000262	193	21	metazoa	8	mle,cel,mandibulata,ava,sme,dgy	cin,nve,odi
OG0000263	192	14	metazoa	15	nve,urochordata,loc,ppa,rva,insects,sme,moll_cl,dgy,anne_cl1	aqu
OG0000264	192	29	metazoa	0		sme
OG0000265	192	25	metazoa	4	vertebrata,sme,hro	
OG0000266	192	28	metazoa	1	sme	
OG0000267	192	29	metazoa	0		
OG0000268	191	11	parahoxozoa	16	olfactores,ecdysozoa,platyhelminthes,dgy,hel,hro,pau	cgi,obi,pye
OG0000269	190	12	metazoa	17	olfactores,nematodes,rva,dme,ava,platyhelminthes,obi,lgi,dgy,anne_cl1,pau	aqu,nge
OG0000270	190	25	eumetazoa	3	rva,insects	
OG0000271	188	29	metazoa	0		cel
OG0000272	188	25	eumetazoa	3	odi,platyhelminthes	
OG0000273	187	29	metazoa	0		
OG0000274	187	29	metazoa	0		
OG0000275	187	28	metazoa	1	hel	ppa,sma,tca,dme
OG0000276	187	25	parahoxozoa	2	odi,pau	
OG0000277	186	10	metazoa	19	mle,deuterostomes,nematodes,sma,dme,ava,platyhelminthes,obi,dgy,hel,hro,lan	aqu,cgi,cte,rva
OG0000278	186	29	metazoa	0		
OG0000279	186	28	metazoa	1	mle	
OG0000280	186	19	protostomia	1	sme	
OG0000281	185	15	metazoa	14	deuterostomes,ecdysozoa,sme,dgy	nge
OG0000282	185	26	metazoa	3	mle,ava,sme	
OG0000283	185	28	metazoa	1	mle	
OG0000284	184	27	metazoa	2	mle,hel	bla
OG0000285	184	7	bilateria	19	odi,ecdysozoa,ava,platyhelminthes,obi,cgi,spir_cl1	sko
OG0000286	183	15	metazoa	14	mle,urochordata,hsa,nematodes,rva,dme,ava,platyhelminthes,obi,dgy,hro	sko
OG0000287	183	17	metazoa	12	urochordata,hsa,nematodes,rva,dme,ava,sme,pye,dgy,hro	
OG0000288	183	29	metazoa	0		rva
OG0000289	182	29	metazoa	0		
OG0000290	182	29	metazoa	0		
OG0000291	182	27	parahoxozoa	0		
OG0000292	182	26	bilateria	0		bla
OG0000293	182	27	parahoxozoa	0		hel,pye,rva
OG0000294	181	28	metazoa	1	rva	
OG0000295	181	14	metazoa	15	olfactores,ecdysozoa,ava,platyhelminthes,pye,dgy	nge
OG0000296	180	29	metazoa	0		
OG0000297	180	25	metazoa	4	nematodes,insects	bla
OG0000298	180	27	eumetazoa	1	hel	mle
OG0000299	180	26	parahoxozoa	1	odi	
OG0000300	178	28	metazoa	1	rva	
OG0000301	178	29	metazoa	0		
OG0000302	178	9	eumetazoa	19	olfactores,nematodes,rva,sma,dme,ava,platyhelminthes,obi,lgi,cgi,dgy,hel,lophophorata	hro,mle
OG0000303	177	29	metazoa	0		
OG0000304	177	12	metazoa	17	mle,chordata,ecdysozoa,ava,platyhelminthes,dgy,hel	cte,nge
OG0000305	177	13	eumetazoa	15	urochordata,ecdysozoa,platyhelminthes,obi,dgy,anne_cl1,nge	nve
OG0000306	176	14	metazoa	15	mle,olfactores,ecdysozoa,ava,sme,dgy,hro	
OG0000307	176	17	eumetazoa	11	sko,olfactores,panarthropoda,mli,obi	cel,ppa
OG0000308	176	19	bilateria	7	sko,urochordata,loc,dme,platyhelminthes	cte,pye,rva
OG0000309	175	29	metazoa	0		hro
OG0000310	175	17	parahoxozoa	10	olfactores,ecdysozoa	
OG0000311	173	27	metazoa	2	insects	
OG0000312	173	29	metazoa	0		obi
OG0000313	173	28	metazoa	1	bla	hro,rva
OG0000314	173	27	metazoa	2	nematodes	ava
OG0000315	173	12	eumetazoa	16	deuterostomes,ppa,rva,dme,ava,obi,lgi,cgi,dgy,hro,lan	
OG0000316	172	19	eumetazoa	9	nve,bla,nematodes,mandibulata,nge,pau	pye
OG0000317	171	24	metazoa	5	mle,nve,odi,sme,hel	cel,ppa
OG0000318	171	28	metazoa	1	dme	
OG0000319	171	29	metazoa	0		loc
OG0000320	170	29	metazoa	0		
OG0000321	170	29	metazoa	0		
OG0000322	170	19	bilateria	7	vertebrata,nematodes,insects,sme	rva,sko
OG0000323	169	28	metazoa	1	mle	
OG0000324	168	23	metazoa	6	loc,nematodes,rva,insects	
OG0000325	168	23	metazoa	6	mle,vertebrata,nematodes,dgy	
OG0000326	167	29	metazoa	0		
OG0000327	167	13	metazoa	16	mle,nve,urochordata,hsa,cel,panarthropoda,ava,sme,obi,cgi,dgy,hro	nge
OG0000328	167	29	metazoa	0		
OG0000329	167	29	metazoa	0		dme
OG0000330	167	24	parahoxozoa	3	insects,hro	
OG0000331	166	18	metazoa	11	sko,cin,hsa,nematodes,rva,dme,mli,cgi,dgy,hel	bla,mle,odi
OG0000332	166	29	metazoa	0		
OG0000333	166	27	eumetazoa	1	rva	
OG0000334	165	29	metazoa	0		
OG0000335	165	29	metazoa	0		
OG0000336	165	29	metazoa	0		pye
OG0000337	165	27	parahoxozoa	0		
OG0000338	164	28	metazoa	1	odi	
OG0000339	164	14	metazoa	15	nve,bla,loc,ecdysozoa,platyhelminthes,obi,cte,nge,pau	cgi
OG0000340	163	24	metazoa	5	odi,nematodes,ava,sme	sma
OG0000341	163	19	metazoa	10	urochordata,ecdysozoa,obi,pau	nge
OG0000342	163	28	metazoa	1	mle	
OG0000343	163	28	metazoa	1	cel	
OG0000344	163	13	bilateria	13	odi,vertebrata,ecdysozoa,ava,platyhelminthes,obi	bla,cgi
OG0000345	162	26	metazoa	3	mle,sme,obi	
OG0000346	161	27	metazoa	2	nematodes	
OG0000347	161	28	metazoa	1	odi	ava
OG0000348	161	7	metazoa	22	sko,bla,cin,vertebrata,nematodes,mandibulata,ava,platyhelminthes,mollusca,dgy,hel,spir_cl	aqu,hro,rva
OG0000349	161	29	metazoa	0		
OG0000350	161	29	metazoa	0		
OG0000351	161	28	metazoa	1	hro	odi
OG0000352	160	12	metazoa	17	cin,vertebrata,ecdysozoa,ava,platyhelminthes,lgi,pye,hel,hro,lan	aqu
OG0000353	160	27	eumetazoa	1	cin	
OG0000354	160	25	bilateria	1	sme	
OG0000355	160	27	eumetazoa	1	hro	
OG0000356	160	27	parahoxozoa	0		
OG0000357	159	29	metazoa	0		
OG0000358	159	12	metazoa	17	mle,nve,urochordata,hsa,nematodes,rva,insects,ava,platyhelminthes,obi,dgy,anne_cl1	aqu,nge,sko
OG0000359	159	29	metazoa	0		
OG0000360	158	28	metazoa	1	ppa	
OG0000361	157	24	metazoa	5	odi,nematodes,rva,ava	
OG0000362	156	19	metazoa	10	mle,urochordata,nematodes,rva,insects,sme,obi	
OG0000363	156	26	metazoa	3	nematodes,dme	
OG0000364	156	26	metazoa	3	odi,nematodes	
OG0000365	155	27	metazoa	2	nematodes	
OG0000366	155	29	metazoa	0		
OG0000367	155	26	metazoa	3	mle,sme,hel	
OG0000368	154	29	metazoa	0		
OG0000369	154	29	metazoa	0		
OG0000370	154	27	parahoxozoa	0		cel
OG0000371	154	19	bilateria	7	sko,bla,urochordata,loc,sme,hel	dme
OG0000372	153	29	metazoa	0		
OG0000373	153	17	metazoa	12	urochordata,ecdysozoa,ava,platyhelminthes,hro	
OG0000374	153	29	metazoa	0		rva
OG0000375	153	27	metazoa	2	mle,sme	
OG0000376	153	29	metazoa	0		
OG0000377	152	28	metazoa	1	mle	
OG0000378	152	28	metazoa	1	odi	
OG0000379	152	13	parahoxozoa	14	chordata,cel,rva,sma,dme,ava,sme,obi,dgy,hro	
OG0000380	151	18	metazoa	11	mle,odi,nematodes,rva,ava,platyhelminthes,dgy,hel,hro	obi
OG0000381	151	27	metazoa	2	vertebrata	
OG0000382	151	29	metazoa	0		cel
OG0000383	151	28	metazoa	1	rva	
OG0000384	151	29	metazoa	0		
OG0000385	151	16	parahoxozoa	11	sko,bla,vertebrata,nematodes,rva,platyhelminthes,hro,nge	
OG0000386	151	20	parahoxozoa	7	odi,rva,sma,platyhelminthes,obi,nge	ppa
OG0000387	150	13	metazoa	16	mle,nve,olfactores,ecdysozoa,ava,sme,dgy,cte	nge
OG0000388	150	25	metazoa	4	mle,nematodes,dme	cte
OG0000389	150	14	spiralia	0		mli,nge
OG0000390	150	25	eumetazoa	3	mandibulata	
OG0000391	150	19	eumetazoa	9	nve,cin,vertebrata,nematodes,insects,sme	
OG0000392	149	25	metazoa	4	rva,insects,ava	
OG0000393	149	28	metazoa	1	sme	
OG0000394	149	25	metazoa	4	mle,odi,platyhelminthes	
OG0000395	149	16	eumetazoa	12	deuterostomes,ecdysozoa	nge
OG0000396	149	28	eumetazoa	0		ppa
OG0000397	148	4	metazoa	25	deuterostomes,ecdysozoa,ava,platyhelminthes,moll_cl,spir_cl1	aqu,mle
OG0000398	148	27	metazoa	2	cin,hel	
OG0000399	148	29	metazoa	0		
OG0000400	148	29	metazoa	0		
OG0000401	147	12	metazoa	17	mle,chordata,nematodes,rva,insects,ava,platyhelminthes,obi,dgy,hro	aqu,nge,sko
OG0000402	147	29	metazoa	0		ava,odi
OG0000403	146	28	metazoa	1	odi	aqu
OG0000404	146	11	metazoa	18	olfactores,ppa,panarthropoda,ava,platyhelminthes,mollusca,hro,lan	aqu,nge
OG0000405	146	28	metazoa	1	sme	
OG0000406	146	10	metazoa	19	mle,chordata,ecdysozoa,ava,platyhelminthes,obi,lgi,cgi,hro	hel,nge
OG0000407	146	27	metazoa	2	insects	
OG0000408	146	26	parahoxozoa	1	cel	
OG0000409	145	10	metazoa	19	mle,odi,vertebrata,nematodes,rva,insects,ava,platyhelminthes,obi,bivalvia,dgy,hel,hro,pau	aqu,nge
OG0000410	145	28	metazoa	1	sme	
OG0000411	145	25	metazoa	4	odi,dme,platyhelminthes	
OG0000412	145	29	metazoa	0		nge,sma
OG0000413	145	26	bilateria	0		
OG0000414	145	26	bilateria	0		
OG0000415	145	21	parahoxozoa	6	ecdysozoa	
OG0000416	145	9	parahoxozoa	18	chordata,nematodes,rva,sma,dme,ava,mli,bivalvia,dgy,hel,hro,lan	lgi,sme
OG0000417	144	29	metazoa	0		
OG0000418	144	29	metazoa	0		
OG0000419	144	26	eumetazoa	2	odi,sme	
OG0000420	144	28	eumetazoa	0		
OG0000421	144	7	spir_cl2	4	obi,pye,dgy,hro	
OG0000422	143	17	metazoa	12	mle,hsa,nematodes,insects,ava,sme,dgy,anne_cl1,pau	
OG0000423	143	29	metazoa	0		
OG0000424	143	29	metazoa	0		
OG0000425	143	28	metazoa	1	hel	ppa
OG0000426	143	29	metazoa	0		
OG0000427	143	27	metazoa	2	cin,hel	lgi
OG0000428	143	28	eumetazoa	0		hro
OG0000429	143	9	eumetazoa	19	chordata,nematodes,mandibulata,ava,sme,obi,lgi,cgi,hel,spir_cl	cte,sko
OG0000430	143	3	parahoxozoa	24	sko,bla,urochordata,protostomia	hsa
OG0000431	142	26	metazoa	3	mle,nve,sme	ppa
OG0000432	141	29	metazoa	0		
OG0000433	141	29	metazoa	0		
OG0000434	141	29	metazoa	0		ppa
OG0000435	141	29	metazoa	0		
OG0000436	141	29	metazoa	0		
OG0000437	140	25	metazoa	4	mle,vertebrata,dme	aqu
OG0000438	140	29	metazoa	0		
OG0000439	139	26	metazoa	3	odi,nematodes	aqu
OG0000440	139	20	metazoa	9	mle,odi,vertebrata,nematodes,dme,sme,hro	
OG0000441	139	25	metazoa	4	odi,cel,rva,sme	
OG0000442	139	29	metazoa	0		
OG0000443	138	10	metazoa	19	odi,hsa,nematodes,mandibulata,ava,platyhelminthes,mollusca,dgy,hel,hro,lophophorata	aqu
OG0000444	138	26	metazoa	3	sko,vertebrata	
